Zipcode,Population,Poverty Rate
02462,1412.0,4.036827195467422
02464,2947.0,9.97624703087886
02465,11673.0,4.214854793112311
02466,9105.0,3.525535420098847
02467,23092.0,4.018707777585311
02468,5267.0,2.0125308524776915
02472,32622.0,6.017411562749065
02474,26646.0,4.417173309314719
02476,16662.0,2.934821750090025
02478,24864.0,5.55019305019305
02481,16215.0,2.7320382362010482
02482,10946.0,2.6493696327425544
02492,20131.0,3.0798271322835427
02493,11538.0,2.236089443577743
02494,9109.0,3.9301789439016357
02532,11455.0,12.867743343518114
02534,1247.0,4.490777866880514
02535,1283.0,9.275136399064692
02536,19470.0,6.774524910118131
02537,6288.0,6.377226463104326
02538,3245.0,14.884437596302003
02539,4135.0,7.3035066505441355
02540,8554.0,8.23006780453589
